date,total_value,cash,positions
2026-02-19,93070.7345681964,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-02-20,94037.07301380168,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-02-23,92807.8086254099,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-02-24,93291.26313804333,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-02-25,95158.47524109377,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-02-26,94315.72319622523,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-02-27,93154.52893725575,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-03-02,93848.32222695925,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-03-03,93492.52052651875,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-03-04,94948.20683798136,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-03-05,94474.1437010147,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-03-06,93002.48295077668,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-03-09,93837.97734702298,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
